Sex,Religion,State,count,,
men,Buddhist,NSW,90594,,
men,Christian,NSW,2120514,,
men,Hindu,NSW,63544,,
men,Muslim,NSW,113940,,
men,Jewish,NSW,19105,,
men,other,NSW,692706,,
men,no religion,NSW,662711,,
men,not stated,NSW,282580,,
women,Buddhist,NSW,110440,,
women,Christian,NSW,2341838,,
women,Hindu,NSW,56258,,
women,Muslim,NSW,105437,,
women,Jewish,NSW,20626,,
women,other,NSW,596255,,
women,no religion,NSW,577821,,
women,not stated,NSW,251888
men,Buddhist,Vic,77987
men,Christian,Vic,1446015
men,Hindu,Vic,45880
men,Muslim,Vic,79649
men,Jewish,Vic,21818
men,other,Vic,702666
men,no religion,Vic,673671
men,not stated,Vic,231871
women,Buddhist,Vic,90650
women,Christian,Vic,1631933
women,Hindu,Vic,37257
women,Muslim,Vic,73126
women,Jewish,Vic,23332
women,other,Vic,627420
women,no religion,Vic,610210
women,not stated,Vic,214498
men,Buddhist,QLD,29111
men,Christian,QLD,1321621
men,Hindu,QLD,15207
men,Muslim,QLD,18081
men,Jewish,QLD,2233
men,other,QLD,535160
men,no religion,QLD,512942
men,not stated,QLD,213523
women,Buddhist,QLD,36830
women,Christian,QLD,1463463
women,Hindu,QLD,13434
women,Muslim,QLD,15966
women,Jewish,QLD,2209
women,other,QLD,456559
women,no religion,QLD,442840
women,not stated,QLD,182080
men,Buddhist,SA,13310
men,Christian,SA,425838
men,Hindu,SA,7355
men,Muslim,SA,10590
men,Jewish,SA,530
men,other,SA,247706
men,no religion,SA,238776
men,not stated,SA,74988
women,Buddhist,SA,15684
women,Christian,SA,488522
women,Hindu,SA,6265
women,Muslim,SA,8921
women,Jewish,SA,558
women,other,SA,214744
women,no religion,SA,209748
women,not stated,SA,67767
men,Buddhist,WA,21530
men,Christian,WA,618632
men,Hindu,WA,11566
men,Muslim,WA,20611
men,Jewish,WA,2856
men,other,WA,321969
men,no religion,WA,308982
men,not stated,WA,121112
women,Buddhist,WA,25865
women,Christian,WA,681742
women,Hindu,WA,9459
women,Muslim,WA,18506
women,Jewish,WA,2999
women,other,WA,270018
women,no religion,WA,262965
women,not stated,WA,95971
men,Buddhist,Tas,1592
men,Christian,Tas,137687
men,Hindu,Tas,812
men,Muslim,Tas,931
men,Jewish,Tas,108
men,other,Tas,77381
men,no religion,Tas,74779
men,not stated,Tas,23198
women,Buddhist,Tas,2009
women,Christian,Tas,157714
women,Hindu,Tas,806
women,Muslim,Tas,777
women,Jewish,Tas,138
women,other,Tas,68595
women,no religion,Tas,67094
women,not stated,Tas,21404
men,Buddhist,NT,1637
men,Christian,NT,57786
men,Hindu,NT,922
men,Muslim,NT,869
men,Jewish,NT,73
men,other,NT,28776
men,no religion,NT,27505
men,not stated,NT,17490
women,Buddhist,NT,2051
women,Christian,NT,59757
women,Hindu,NT,717
women,Muslim,NT,720
women,Jewish,NT,74
women,other,NT,23819
women,no religion,NT,23134
women,not stated,NT,13351
men,Buddhist,ACT,4233
men,Christian,ACT,92409
men,Hindu,ACT,3172
men,Muslim,ACT,3973
men,Jewish,ACT,331
men,other,ACT,56970
men,no religion,ACT,54546
men,not stated,ACT,14329
women,Buddhist,ACT,5103
women,Christian,ACT,104612
women,Hindu,ACT,2871
women,Muslim,ACT,3459
women,Jewish,ACT,342
women,other,ACT,49947
women,no religion,ACT,48703
women,not stated,ACT,12696
men,Buddhist,Other Territories,197
men,Christian,Other Territories,326
men,Hindu,Other Territories,5
men,Muslim,Other Territories,375
men,Jewish,Other Territories,3
men,other,Other Territories,208
men,no religion,Other Territories,198
men,not stated,Other Territories,833
women,Buddhist,Other Territories,159
women,Christian,Other Territories,273
women,Hindu,Other Territories,5
women,Muslim,Other Territories,354
women,Jewish,Other Territories,0
women,other,Other Territories,160
women,no religion,Other Territories,154
women,not stated,Other Territories,77
